,maxAge,endDate,totalRevenue,costOfRevenue,grossProfit,researchDevelopment,sellingGeneralAdministrative,nonRecurring,otherOperatingExpenses,totalOperatingExpenses,operatingIncome,totalOtherIncomeExpenseNet,ebit,interestExpense,incomeBeforeTax,incomeTaxExpense,minorityInterest,netIncomeFromContinuingOps,discontinuedOperations,extraordinaryItems,effectOfAccountingCharges,otherItems,netIncome,netIncomeApplicableToCommonShares
0,1,2020-06-30,"{'raw': 143015000000, 'fmt': '143.01B', 'longFmt': '143,015,000,000'}","{'raw': 46078000000, 'fmt': '46.08B', 'longFmt': '46,078,000,000'}","{'raw': 96937000000, 'fmt': '96.94B', 'longFmt': '96,937,000,000'}","{'raw': 19269000000, 'fmt': '19.27B', 'longFmt': '19,269,000,000'}","{'raw': 24709000000, 'fmt': '24.71B', 'longFmt': '24,709,000,000'}",{},{},"{'raw': 90056000000, 'fmt': '90.06B', 'longFmt': '90,056,000,000'}","{'raw': 52959000000, 'fmt': '52.96B', 'longFmt': '52,959,000,000'}","{'raw': 77000000, 'fmt': '77M', 'longFmt': '77,000,000'}","{'raw': 52959000000, 'fmt': '52.96B', 'longFmt': '52,959,000,000'}","{'raw': -2591000000, 'fmt': '-2.59B', 'longFmt': '-2,591,000,000'}","{'raw': 53036000000, 'fmt': '53.04B', 'longFmt': '53,036,000,000'}","{'raw': 8755000000, 'fmt': '8.76B', 'longFmt': '8,755,000,000'}",{},"{'raw': 44281000000, 'fmt': '44.28B', 'longFmt': '44,281,000,000'}",{},{},{},{},"{'raw': 44281000000, 'fmt': '44.28B', 'longFmt': '44,281,000,000'}","{'raw': 44281000000, 'fmt': '44.28B', 'longFmt': '44,281,000,000'}"
1,1,2019-06-30,"{'raw': 125843000000, 'fmt': '125.84B', 'longFmt': '125,843,000,000'}","{'raw': 42910000000, 'fmt': '42.91B', 'longFmt': '42,910,000,000'}","{'raw': 82933000000, 'fmt': '82.93B', 'longFmt': '82,933,000,000'}","{'raw': 16876000000, 'fmt': '16.88B', 'longFmt': '16,876,000,000'}","{'raw': 23098000000, 'fmt': '23.1B', 'longFmt': '23,098,000,000'}",{},{},"{'raw': 82884000000, 'fmt': '82.88B', 'longFmt': '82,884,000,000'}","{'raw': 42959000000, 'fmt': '42.96B', 'longFmt': '42,959,000,000'}","{'raw': 729000000, 'fmt': '729M', 'longFmt': '729,000,000'}","{'raw': 42959000000, 'fmt': '42.96B', 'longFmt': '42,959,000,000'}","{'raw': -2686000000, 'fmt': '-2.69B', 'longFmt': '-2,686,000,000'}","{'raw': 43688000000, 'fmt': '43.69B', 'longFmt': '43,688,000,000'}","{'raw': 4448000000, 'fmt': '4.45B', 'longFmt': '4,448,000,000'}",{},"{'raw': 39240000000, 'fmt': '39.24B', 'longFmt': '39,240,000,000'}",{},{},{},{},"{'raw': 39240000000, 'fmt': '39.24B', 'longFmt': '39,240,000,000'}","{'raw': 39240000000, 'fmt': '39.24B', 'longFmt': '39,240,000,000'}"
2,1,2018-06-30,"{'raw': 110360000000, 'fmt': '110.36B', 'longFmt': '110,360,000,000'}","{'raw': 38353000000, 'fmt': '38.35B', 'longFmt': '38,353,000,000'}","{'raw': 72007000000, 'fmt': '72.01B', 'longFmt': '72,007,000,000'}","{'raw': 14726000000, 'fmt': '14.73B', 'longFmt': '14,726,000,000'}","{'raw': 22223000000, 'fmt': '22.22B', 'longFmt': '22,223,000,000'}",{},{},"{'raw': 75302000000, 'fmt': '75.3B', 'longFmt': '75,302,000,000'}","{'raw': 35058000000, 'fmt': '35.06B', 'longFmt': '35,058,000,000'}","{'raw': 1416000000, 'fmt': '1.42B', 'longFmt': '1,416,000,000'}","{'raw': 35058000000, 'fmt': '35.06B', 'longFmt': '35,058,000,000'}","{'raw': -2733000000, 'fmt': '-2.73B', 'longFmt': '-2,733,000,000'}","{'raw': 36474000000, 'fmt': '36.47B', 'longFmt': '36,474,000,000'}","{'raw': 19903000000, 'fmt': '19.9B', 'longFmt': '19,903,000,000'}",{},"{'raw': 16571000000, 'fmt': '16.57B', 'longFmt': '16,571,000,000'}",{},{},{},{},"{'raw': 16571000000, 'fmt': '16.57B', 'longFmt': '16,571,000,000'}","{'raw': 16571000000, 'fmt': '16.57B', 'longFmt': '16,571,000,000'}"
3,1,2017-06-30,"{'raw': 96571000000, 'fmt': '96.57B', 'longFmt': '96,571,000,000'}","{'raw': 34261000000, 'fmt': '34.26B', 'longFmt': '34,261,000,000'}","{'raw': 62310000000, 'fmt': '62.31B', 'longFmt': '62,310,000,000'}","{'raw': 13037000000, 'fmt': '13.04B', 'longFmt': '13,037,000,000'}","{'raw': 19942000000, 'fmt': '19.94B', 'longFmt': '19,942,000,000'}",{},{},"{'raw': 67240000000, 'fmt': '67.24B', 'longFmt': '67,240,000,000'}","{'raw': 29331000000, 'fmt': '29.33B', 'longFmt': '29,331,000,000'}","{'raw': 570000000, 'fmt': '570M', 'longFmt': '570,000,000'}","{'raw': 29331000000, 'fmt': '29.33B', 'longFmt': '29,331,000,000'}","{'raw': -2222000000, 'fmt': '-2.22B', 'longFmt': '-2,222,000,000'}","{'raw': 29901000000, 'fmt': '29.9B', 'longFmt': '29,901,000,000'}","{'raw': 4412000000, 'fmt': '4.41B', 'longFmt': '4,412,000,000'}",{},"{'raw': 25489000000, 'fmt': '25.49B', 'longFmt': '25,489,000,000'}",{},{},{},{},"{'raw': 25489000000, 'fmt': '25.49B', 'longFmt': '25,489,000,000'}","{'raw': 25489000000, 'fmt': '25.49B', 'longFmt': '25,489,000,000'}"
