symbol,language,region,quoteType,quoteSourceName,triggerable,currency,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,trailingAnnualDividendRate,trailingAnnualDividendYield,firstTradeDateMilliseconds,priceHint,epsTrailingTwelveMonths,epsForward,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,tradeable,marketState,earningsTimestampStart,earningsTimestampEnd,trailingPE,epsCurrentYear,priceEpsCurrentYear,prevName,nameChangeDate,dividendDate,displayName
KITEX.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,KITEX GARMENTS LTD,Kitex Garments Limited,finmb_24394490,Asia/Kolkata,IST,19800000.0,in_market,False,2.5,2.3719165,1608717597.0,107.9,109.2,105.4 - 109.2,105.4,177809.0,105.4,0.0,0.0,0.0,0.0,NSE,INR,106.0,222940.0,521114.0,33.700005,0.45417798,74.2 - 171.1,-63.200005,-0.36937466,74.2,171.1,,0.0,0.0,1348544700000.0,2.0,12.494,18.95,66500000.0,101.114,105.93143,1.9685745,0.01858348,106.2525,1.6474991,0.0155055085,7165175296.0,5.693931,1.0671124,15.0,15.0,False,POSTPOST,,,8.636146,15.82,6.820481,,,,
KKCL.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,KEWEL KIRAN CLOTHI,Kewal Kiran Clothing Limited,finmb_26342279,Asia/Kolkata,IST,19800000.0,in_market,False,17.600037,2.193561,1608717528.0,819.95,842.05,803.1 - 842.05,803.1,552.0,802.35,0.0,0.0,0.0,0.0,NSE,INR,842.05,1361.0,1650.0,253.75,0.44816318,566.2 - 1099.0,-279.05,-0.25391263,566.2,1099.0,,37.0,0.04611454,1144899900000.0,2.0,22.837,73.57,12325000.0,356.087,774.71027,45.239746,0.0583957,758.759,61.19104,0.08064622,9920575488.0,11.145168,2.3026676,15.0,15.0,False,POSTPOST,,,35.904453,,,,,,
KNRCON.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,KNR CONSTRUCTIONS,KNR Constructions Limited,finmb_22662400,Asia/Kolkata,IST,19800000.0,in_market,False,0.4500122,0.135281,1608717596.0,333.1,338.8,326.0 - 338.8,326.0,475559.0,332.65,0.0,0.0,0.0,0.0,NSE,INR,338.4,263382.0,1226339.0,162.1,0.9479532,171.0 - 347.6,-14.5,-0.041714612,171.0,347.6,,0.0,0.0,1203306300000.0,2.0,24.301,14.92,140616992.0,125.509,286.95428,46.14572,0.1608121,246.21071,86.8893,0.35290626,46780563456.0,22.325737,2.653993,15.0,15.0,False,POSTPOST,,,13.707254,16.18,20.587145,,,,
KOLTEPATIL.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,KOLTE-PATIL DEVELO,Kolte-Patil Developers Limited,finmb_32671341,Asia/Kolkata,IST,19800000.0,in_market,False,15.849991,7.120391,1608717596.0,238.45,243.85,219.3 - 243.85,219.3,931410.0,222.6,0.0,0.0,0.0,0.0,NSE,INR,222.6,150259.0,327583.0,135.45,1.3150485,103.0 - 278.1,-39.65001,-0.14257464,103.0,278.1,,1.0,0.004492363,1197517500000.0,2.0,-10.329,17.2,76004400.0,113.339,196.80278,41.647217,0.21161905,170.21135,68.23865,0.4009054,18163044352.0,13.863371,2.1038654,15.0,15.0,False,POSTPOST,,,,15.33,15.554468,,,,
KOTHARIPRO.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,KOTHARI PRODUCTS,Kothari Products Limited,finmb_20350805,Asia/Kolkata,IST,19800000.0,in_market,False,1.3500061,2.0164392,1608717591.0,68.3,70.7,67.65 - 70.7,67.65,4054.0,66.95,0.0,0.0,0.0,0.0,NSE,INR,69.65,8906.0,7766.0,39.550003,1.3756523,28.75 - 104.95,-36.649994,-0.34921387,28.75,104.95,,1.0,0.014936521,1025495100000.0,2.0,-7.306,,29843900.0,377.523,65.45857,2.8414307,0.043408077,63.195,5.1050034,0.08078176,2093429248.0,,0.18091613,15.0,15.0,False,POSTPOST,,,,,,,,,
KPITTECH.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,KPIT TECHNOLOGIES,KPIT Technologies Limited,finmb_551104005,Asia/Kolkata,IST,19800000.0,in_market,False,1.75,1.4516798,1608717601.0,122.3,126.6,118.7 - 126.6,118.7,3456838.0,120.55,0.0,0.0,,,NSE,INR,123.9,897393.0,1975101.0,87.950005,2.5604079,34.35 - 129.7,-7.399994,-0.057054695,34.35,129.7,,1.0,0.0082953125,1555904700000.0,2.0,4.889,,274144000.0,40.892,105.64167,16.658333,0.15768714,89.47908,32.820923,0.36679995,33559119872.0,,2.9908051,15.0,15.0,False,POSTPOST,,,25.01534,,,,,,
KRBL.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,KRBL LTD,KRBL Limited,finmb_20350886,Asia/Kolkata,IST,19800000.0,in_market,False,3.199997,1.3157883,1608717598.0,246.4,250.4,244.0 - 250.4,244.0,239865.0,243.2,0.0,0.0,0.0,0.0,NSE,INR,244.45,345318.0,443792.0,154.4,1.6782608,92.0 - 339.0,-92.600006,-0.27315637,92.0,339.0,1604885400.0,0.0,0.0,1011843900000.0,2.0,24.82,22.75,235390000.0,144.858,256.6514,-10.251404,-0.03994291,263.26242,-16.862427,-0.06405178,57754681344.0,10.830769,1.700976,15.0,15.0,False,POSTPOST,1604885400.0,1604885400.0,9.927478,,,,,,
KSCL.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,KAVERI SEED COMPAN,Kaveri Seed Company Limited,finmb_34299694,Asia/Kolkata,IST,19800000.0,in_market,False,10.700012,2.1306276,1608717599.0,512.9,518.0,499.0 - 518.0,499.0,251362.0,502.2,0.0,0.0,0.0,0.0,NSE,INR,507.0,355462.0,538761.0,239.15002,0.8736074,273.75 - 682.5,-169.59998,-0.24849813,273.75,682.5,,4.0,0.007964954,1191469500000.0,2.0,55.668,39.9,60329100.0,213.916,508.84714,4.052887,0.007964842,554.6518,-41.75177,-0.075275645,30980032512.0,12.854637,2.3976703,15.0,15.0,False,POSTPOST,,,9.213552,37.49,13.680982,,,,
KTIL.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,KESAR TERMINALS &,Kesar Terminals & Infrastructure Limited,finmb_49352282,Asia/Kolkata,IST,19800000.0,in_market,False,0.0,0.0,1577699884.0,35.45,38.95,35.45 - 38.95,35.45,56426.0,35.45,0.0,0.0,0.0,0.0,NSE,INR,38.0,0.0,0.0,4.950001,0.1622951,30.5 - 43.75,-8.299999,-0.18971427,30.5,43.75,,1.25,0.03526093,1292989500000.0,2.0,-17.254,18.86,10926500.0,10.824,35.45,0.0,0.0,35.45,0.0,0.0,353471616.0,1.8796394,3.2751293,15.0,15.0,False,POSTPOST,,,,,,,,,
KTKBANK.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,KARNATAKA BANK,The Karnataka Bank Limited,finmb_8952607,Asia/Kolkata,IST,19800000.0,in_market,False,2.449997,4.743459,1608717598.0,54.1,54.5,51.25 - 54.5,51.25,3107748.0,51.65,0.0,0.0,0.0,0.0,NSE,INR,51.6,2521888.0,3375011.0,19.899998,0.5818713,34.2 - 82.5,-28.400002,-0.34424245,34.2,82.5,1602586740.0,3.5,0.06776379,957930300000.0,2.0,14.998,18.63,310870016.0,208.346,49.275,4.824997,0.09791977,44.90248,9.197517,0.20483316,16916313088.0,2.9039185,0.2596642,15.0,15.0,False,POSTPOST,1602586740.0,1602586740.0,3.6071475,,,,,,
